5 59.1381632413 76.4669464921 79.1512383281
10 71.1808933471 87.2424626227 88.3796587599
15 74.6142938505 88.2810209478 89.6117126139
20 75.1329361695 88.5027504378 89.7278566324
25 74.9899095342 88.4131417363 90.6267849399
30 75.273406525 88.4131417363 90.6267849399
35 75.273406525 88.539844302 90.6267849399
40 75.2681272514 88.539844302 90.6267849399
45 75.2785504326 88.6738566312 90.6267849399
50 75.2591930962 88.6738566312 90.6267849399
55 75.2591930962 88.6738566312 90.6267849399
60 75.2591930962 88.6738566312 90.6267849399
