5 67.4303326993 83.0276566252 86.362492521
10 78.0487804878 94.121515341 95.4863835352
15 79.512195122 94.4123220952 96.0185343112
20 79.512195122 94.7903993026 96.2402638012
25 80.243902439 94.9311122482 96.8565580761
30 80.0 95.1443136809 96.8565580761
35 80.0 95.1443136809 96.8565580761
40 80.243902439 95.3006613982 96.8565580761
45 80.243902439 95.3006613982 96.8565580761
50 80.243902439 95.3006613982 97.0129057934
55 80.243902439 95.0974093657 97.0129057934
60 80.243902439 95.3006613982 97.0129057934
