1 1 ImagenesCaras/s1/2.pgm, 18, 
1 1 ImagenesCaras/s2/2.pgm, 40, 
1 1 ImagenesCaras/s3/2.pgm, 6, 
1 1 ImagenesCaras/s4/2.pgm, 6, 
1 1 ImagenesCaras/s5/2.pgm, 25, 
1 1 ImagenesCaras/s6/2.pgm, 9, 
1 1 ImagenesCaras/s7/2.pgm, 17, 
1 1 ImagenesCaras/s8/2.pgm, 6, 
1 1 ImagenesCaras/s9/2.pgm, 24, 
1 1 ImagenesCaras/s10/2.pgm, 30, 
1 1 ImagenesCaras/s11/2.pgm, 34, 
1 1 ImagenesCaras/s12/2.pgm, 26, 
1 1 ImagenesCaras/s13/2.pgm, 18, 
1 1 ImagenesCaras/s14/2.pgm, 12, 
1 1 ImagenesCaras/s15/2.pgm, 36, 
1 1 ImagenesCaras/s16/2.pgm, 14, 
1 1 ImagenesCaras/s17/2.pgm, 4, 
1 1 ImagenesCaras/s18/2.pgm, 18, 
1 1 ImagenesCaras/s19/2.pgm, 1, 
1 1 ImagenesCaras/s20/2.pgm, 20, 
1 1 ImagenesCaras/s21/2.pgm, 29, 
1 1 ImagenesCaras/s22/2.pgm, 38, 
1 1 ImagenesCaras/s23/2.pgm, 23, 
1 1 ImagenesCaras/s24/2.pgm, 23, 
1 1 ImagenesCaras/s25/2.pgm, 40, 
1 1 ImagenesCaras/s26/2.pgm, 37, 
1 1 ImagenesCaras/s27/2.pgm, 1, 
1 1 ImagenesCaras/s28/2.pgm, 12, 
1 1 ImagenesCaras/s29/2.pgm, 29, 
1 1 ImagenesCaras/s30/2.pgm, 20, 
1 1 ImagenesCaras/s31/2.pgm, 31, 
1 1 ImagenesCaras/s32/2.pgm, 18, 
1 1 ImagenesCaras/s33/2.pgm, 33, 
1 1 ImagenesCaras/s34/2.pgm, 38, 
1 1 ImagenesCaras/s35/2.pgm, 15, 
1 1 ImagenesCaras/s36/2.pgm, 11, 
1 1 ImagenesCaras/s37/2.pgm, 16, 
1 1 ImagenesCaras/s38/2.pgm, 29, 
1 1 ImagenesCaras/s39/2.pgm, 39, 
1 1 ImagenesCaras/s40/2.pgm, 3, 
