1 1 ImagenesCaras/s1/3.pgm, 18, 
1 1 ImagenesCaras/s2/3.pgm, 16, 
1 1 ImagenesCaras/s3/3.pgm, 4, 
1 1 ImagenesCaras/s4/3.pgm, 7, 
1 1 ImagenesCaras/s5/3.pgm, 26, 
1 1 ImagenesCaras/s6/3.pgm, 11, 
1 1 ImagenesCaras/s7/3.pgm, 27, 
1 1 ImagenesCaras/s8/3.pgm, 8, 
1 1 ImagenesCaras/s9/3.pgm, 38, 
1 1 ImagenesCaras/s10/3.pgm, 31, 
1 1 ImagenesCaras/s11/3.pgm, 35, 
1 1 ImagenesCaras/s12/3.pgm, 40, 
1 1 ImagenesCaras/s13/3.pgm, 41, 
1 1 ImagenesCaras/s14/3.pgm, 40, 
1 1 ImagenesCaras/s15/3.pgm, 14, 
1 1 ImagenesCaras/s16/3.pgm, 2, 
1 1 ImagenesCaras/s17/3.pgm, 35, 
1 1 ImagenesCaras/s18/3.pgm, 18, 
1 1 ImagenesCaras/s19/3.pgm, 18, 
1 1 ImagenesCaras/s20/3.pgm, 22, 
1 1 ImagenesCaras/s21/3.pgm, 22, 
1 1 ImagenesCaras/s22/3.pgm, 21, 
1 1 ImagenesCaras/s23/3.pgm, 24, 
1 1 ImagenesCaras/s24/3.pgm, 31, 
1 1 ImagenesCaras/s25/3.pgm, 37, 
1 1 ImagenesCaras/s26/3.pgm, 26, 
1 1 ImagenesCaras/s27/3.pgm, 37, 
1 1 ImagenesCaras/s28/3.pgm, 40, 
1 1 ImagenesCaras/s29/3.pgm, 39, 
1 1 ImagenesCaras/s30/3.pgm, 30, 
1 1 ImagenesCaras/s31/3.pgm, 14, 
1 1 ImagenesCaras/s32/3.pgm, 18, 
1 1 ImagenesCaras/s33/3.pgm, 30, 
1 1 ImagenesCaras/s34/3.pgm, 11, 
1 1 ImagenesCaras/s35/3.pgm, 4, 
1 1 ImagenesCaras/s36/3.pgm, 9, 
1 1 ImagenesCaras/s37/3.pgm, 28, 
1 1 ImagenesCaras/s38/3.pgm, 38, 
1 1 ImagenesCaras/s39/3.pgm, 29, 
1 1 ImagenesCaras/s40/3.pgm, 2, 
1 1 ImagenesCaras/s41/3.pgm, 18, 
1 1 ImagenesCaras/s1/4.pgm, 18, 
1 1 ImagenesCaras/s2/4.pgm, 40, 
1 1 ImagenesCaras/s3/4.pgm, 19, 
1 1 ImagenesCaras/s4/4.pgm, 40, 
1 1 ImagenesCaras/s5/4.pgm, 37, 
1 1 ImagenesCaras/s6/4.pgm, 3, 
1 1 ImagenesCaras/s7/4.pgm, 15, 
1 1 ImagenesCaras/s8/4.pgm, 35, 
1 1 ImagenesCaras/s9/4.pgm, 6, 
1 1 ImagenesCaras/s10/4.pgm, 22, 
1 1 ImagenesCaras/s11/4.pgm, 2, 
