1 13
2 30
3 3
4 4
5 15
6 6
7 31
8 8
9 4
10 10
11 11
12 12
13 36
14 14
15 18
16 3
17 29
18 0
19 8
20 20
21 30
22 22
23 23
24 21
25 14
26 17
27 27
28 29
29 29
30 30
31 31
32 32
33 33
34 34
35 16
36 36
37 25
38 21
39 39
40 40
41 41
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 10
9 0
10 10
11 11
12 12
13 13
14 1
15 27
16 16
17 17
18 1
19 19
20 20
21 21
22 33
23 23
24 24
25 25
26 26
27 27
28 28
29 19
30 30
31 31
32 32
33 21
34 34
35 35
36 36
37 37
38 13
39 15
40 26
41 41
1 1
2 2
3 3
4 2
5 6
6 6
7 7
8 11
9 9
10 10
11 11
12 12
13 13
14 32
15 34
16 28
17 20
18 17
19 19
20 13
21 21
22 22
23 23
24 24
25 25
26 26
27 4
28 13
29 20
30 17
31 17
32 32
33 33
34 14
35 35
36 36
37 25
38 38
39 39
40 4
41 41
1 12
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 7
13 10
14 37
15 36
16 32
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 33
27 27
28 3
29 35
30 30
31 31
32 10
33 17
34 34
35 14
36 3
37 16
38 38
39 39
40 40
41 41
1 1
2 2
3 3
4 4
5 37
6 6
7 7
8 8
9 9
10 10
11 30
12 12
13 25
14 14
15 15
16 31
17 17
18 18
19 30
20 29
21 30
22 1
23 23
24 24
25 6
26 26
27 27
28 28
29 16
30 30
31 31
32 9
33 34
34 34
35 35
36 36
37 37
38 38
39 39
40 40
41 16
1 1
2 2
3 3
4 10
5 24
6 6
7 7
8 6
9 9
10 0
11 11
12 12
13 13
14 14
15 14
16 16
17 17
18 40
19 19
20 20
21 3
22 22
23 23
24 12
25 36
26 26
27 27
28 8
29 32
30 30
31 31
32 32
33 33
34 34
35 35
36 2
37 37
38 27
39 39
40 40
41 32
1 8
2 2
3 3
4 4
5 15
6 6
7 7
8 37
9 34
10 13
11 11
12 18
13 38
14 12
15 18
16 37
17 7
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 31
28 28
29 31
30 0
31 31
32 32
33 33
34 34
35 40
36 36
37 1
38 12
39 14
40 40
41 41
1 5
2 2
3 9
4 23
5 14
6 6
7 14
8 8
9 6
10 2
11 8
12 12
13 13
14 14
15 15
16 18
17 37
18 19
19 19
20 4
21 21
22 40
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 32
36 36
37 37
38 38
39 31
40 23
41 33
1 38
2 6
3 3
4 4
5 5
6 6
7 31
8 8
9 9
10 0
11 11
12 12
13 1
14 14
15 24
16 16
17 17
18 10
19 7
20 20
21 21
22 32
23 23
24 37
25 33
26 27
27 27
28 25
29 18
30 7
31 1
32 32
33 33
34 34
35 35
36 36
37 37
38 19
39 39
40 40
41 41
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 39
12 12
13 13
14 14
15 15
16 16
17 17
18 0
19 1
20 20
21 21
22 8
23 23
24 24
25 25
26 34
27 27
28 28
29 29
30 30
31 38
32 32
33 33
34 34
35 35
36 36
37 9
38 38
39 0
40 40
41 10
