ImagenesCaras/s1/2.pgm, 1,
ImagenesCaras/s2/2.pgm, 11,
ImagenesCaras/s3/2.pgm, 21,
ImagenesCaras/s4/2.pgm, 20,
ImagenesCaras/s5/2.pgm, 5,
ImagenesCaras/s6/2.pgm, 6,
ImagenesCaras/s7/2.pgm, 41,
ImagenesCaras/s8/2.pgm, 32,
ImagenesCaras/s9/2.pgm, 25,
ImagenesCaras/s10/2.pgm, 7,
ImagenesCaras/s11/2.pgm, 15,
ImagenesCaras/s12/2.pgm, 26,
ImagenesCaras/s13/2.pgm, 25,
ImagenesCaras/s14/2.pgm, 14,
ImagenesCaras/s15/2.pgm, 13,
ImagenesCaras/s16/2.pgm, 36,
ImagenesCaras/s17/2.pgm, 7,
ImagenesCaras/s18/2.pgm, 18,
ImagenesCaras/s19/2.pgm, 19,
ImagenesCaras/s20/2.pgm, 30,
ImagenesCaras/s21/2.pgm, 15,
ImagenesCaras/s22/2.pgm, 37,
ImagenesCaras/s23/2.pgm, 23,
ImagenesCaras/s24/2.pgm, 24,
ImagenesCaras/s25/2.pgm, 18,
ImagenesCaras/s26/2.pgm, 15,
ImagenesCaras/s27/2.pgm, 19,
ImagenesCaras/s28/2.pgm, 19,
ImagenesCaras/s29/2.pgm, 35,
ImagenesCaras/s30/2.pgm, 33,
ImagenesCaras/s31/2.pgm, 28,
ImagenesCaras/s32/2.pgm, 32,
ImagenesCaras/s33/2.pgm, 33,
ImagenesCaras/s34/2.pgm, 34,
ImagenesCaras/s35/2.pgm, 15,
ImagenesCaras/s36/2.pgm, 20,
ImagenesCaras/s37/2.pgm, 37,
ImagenesCaras/s38/2.pgm, 38,
ImagenesCaras/s39/2.pgm, 39,
ImagenesCaras/s40/2.pgm, 40,
ImagenesCaras/s41/2.pgm, 3,
